turn, fish, shark
987, 6177, 2969
988, 6194, 3121
989, 6187, 3036
990, 6272, 2926
991, 6308, 2937
992, 6305, 3173
993, 6182, 3397
994, 6098, 3244
995, 6091, 3362
996, 5974, 3449
997, 5868, 3327
998, 5827, 3128
999, 5783, 3217
1000, 5741, 3125
1001, 5739, 3191
1002, 5674, 3032
1003, 5630, 3137
1004, 5567, 3046
1005, 5576, 2915
1006, 5659, 2882
1007, 5670, 3118
1008, 5513, 3323
1009, 5426, 3184
1010, 5410, 3285
1011, 5339, 3318
1012, 5363, 3220
1013, 5511, 3012
1014, 5607, 3113
1015, 5690, 3014
1016, 5823, 3042
1017, 5884, 2946
1018, 5924, 3016
1019, 5937, 2932
1020, 6025, 2817
1021, 6127, 2824
1022, 6081, 3093
1023, 5922, 3337
1024, 5806, 3230
1025, 5754, 3380
1026, 5616, 3463
1027, 5549, 3388
1028, 5590, 3253
1029, 5594, 3396
1030, 5573, 3314
1031, 5589, 3386
1032, 5549, 3284
1033, 5511, 3417
1034, 5419, 3320
1035, 5414, 3199
1036, 5459, 3256
1037, 5424, 3548
1038, 5286, 3785
1039, 5183, 3635
1040, 5099, 3804
1041, 4977, 3913
1042, 4882, 3808
1043, 4866, 3633
1044, 4827, 3765
1045, 4756, 3693
1046, 4700, 3777
1047, 4616, 3623
1048, 4527, 3781
1049, 4346, 3673
1050, 4248, 3475
1051, 4230, 3444
1052, 4151, 3704
1053, 3943, 3892
1054, 3734, 3691
1055, 3626, 3773
1056, 3516, 3779
1057, 3417, 3638
1058, 3347, 3366
1059, 3327, 3465
1060, 3266, 3349
1061, 3242, 3338
1062, 3238, 3139
1063, 3238, 3237
1064, 3197, 3101
1065, 3215, 2890
1066, 3252, 2762
1067, 3289, 2896
1068, 3258, 3031
1069, 3265, 2832
1070, 3312, 2834
1071, 3368, 2802
1072, 3384, 2681
1073, 3501, 2442
1074, 3597, 2526
1075, 3711, 2453
1076, 3853, 2469
1077, 3998, 2331
1078, 4112, 2439
1079, 4192, 2383
1080, 4376, 2300
1081, 4603, 2236
1082, 4795, 2379
1083, 4950, 2472
1084, 5146, 2323
1085, 5373, 2336
1086, 5621, 2320
1087, 5872, 2217
1088, 6145, 2040
1089, 6438, 2160
1090, 6713, 2089
1091, 7030, 2132
1092, 7304, 2113
1093, 7525, 2256
1094, 7732, 2207
1095, 7976, 2159
1096, 8228, 2154
1097, 8375, 2367
1098, 8408, 2529
1099, 8447, 2424
1100, 8524, 2474
1101, 8532, 2519
1102, 8528, 2452
1103, 8649, 2330
1104, 8679, 2472
1105, 8685, 2408
1106, 8722, 2450
1107, 8694, 2384
1108, 8642, 2574
1109, 8523, 2524
1110, 8524, 2495
